"Document ChEMBL ID";"Journal";"Source ID";"Source Description";"Title";"PubMed ID";"DOI";"Patent ID";"Authors";"Year";"Volume";"Issue";"First Page";"Last Page";"Document Type";"Abstract";"Compounds";"Targets";"Activities";"ChEMBL Release";"ChEMBL Release Creation Date"
"CHEMBL2364335";"";"21";"Deposited Supplementary Bioactivity Data";"Structure-activity relationship data for chemical series of achiral agonists of the ghrelin (growth hormone secretagogue) receptor  (Supplementary Bioactivity Data for publication CHEMBL1140573)";"";"10.6019/CHEMBL2364335";"";"Senger S, Chau CH, Wall ID, Blaney E, Gaiba A, King NP, Takle AK, Witherington J";"";"";"";"";"";"DATASET";"Supplementary bioactivity data for the GlaxoSmithKline (GSK) publication Bioorg. Med. Chem. Lett. 2007, 17, 6584-6587 (ChEMBL Doc ID: CHEMBL1140573): pEC50 values for 157 compounds that have been tested in the Ghrelin receptor agonist MACMAM FLIPR  assay (ChEMBL Assay ID: CHEMBL941945) described in reference 14 of the aforementioned publication. All compounds have been tested at least four times and have been reported as being active in all test occasions. The standard deviation for all results is less than or equal to 0.5.";"157";"1";"157";"CHEMBL_17";"2013-08-29"
"CHEMBL5303304";"";"55";"EUbOPEN Chemogenomic Library";"EUbOPEN Chemogenomics Library - IncuCyte";"";"10.6019/CHEMBL5303304";"";"EUbOPEN";"2023";"";"";"";"";"DATASET";"Cell Viability-IncuCyte assay results for EUbOPEN Chemogenomics Library: The InucyCyte Viability assay is used to investigate cytotoxicity over 24h. This first determinant as an in cell quality control of different compounds is based on confluence analysis by brightfield acquisition. Compounds are classfiied according to their calculated growth rate in healhty, cytostatic or cytotoxic.";"900";"3";"16225";"CHEMBL_34";"2024-03-28"
"CHEMBL5303300";"";"55";"EUbOPEN Chemogenomic Library";"EUbOPEN Chemogenomics Library - Multiplex";"";"10.6019/CHEMBL5303300";"";"EUbOPEN";"2023";"";"";"";"";"DATASET";"Multiplex assay results for EUbOPEN Chemogenomics Library: The multiplex high-content screen is used to investigate the cytotoxicity of compounds in different cell lines such as HEK293T, U2OS, and MRC-9 cells. This assay, detects compound properties like precipitation or intrinsic fluorescence, cell viability as well as the effect on tubulin, mitochondria or membrane integrity by staining living cells with different fluorescent dyes. Different compound libraries containing of probes or chemogenomic compounds are tested over a kinetic measurement at 0h, 12h, 24h and 48h. Cell sub-populations are gated by a machine-learning-guided algorithm using the CellPathfinder Software (Yokogawa).";"124";"3";"113981";"CHEMBL_34";"2024-03-28"
"CHEMBL4513160";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of MMV (CH) - Small Polar Library";"";"10.6019/CHEMBL4513160";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening MMV Small Polar Library compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"18005";"2";"54015";"CHEMBL_28";"2021-01-15"
"CHEMBL4513154";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of Jain University (India) compounds";"";"10.6019/CHEMBL4513154";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening Jain University compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"26";"7";"182";"CHEMBL_28";"2021-01-15"
"CHEMBL4513157";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of Universitat de Barcelona (Spain) compounds";"";"10.6019/CHEMBL4513157";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening Universitat de Barcelona compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"4";"8";"32";"CHEMBL_28";"2021-01-15"
"CHEMBL5606458";"";"71";"AI-driven Structure-enabled Antiviral Platform (ASAP)";"ASAP - ZIKV NS2B-NS3 protease fluorescence single point";"";"10.6019/CHEMBL5606458";"";"ASAP Discovery Consortium";"2024";"";"";"";"";"DATASET";"According to the assay cascade defined by the AI-driven Structure-enabled Antiviral Platform (ASAP, https://asapdiscovery.org) which contains assays and progression criteria used by the drug discovery program, this dataset includes ZIKV NS2B-NS3 protease fluorescence single point data.";"2771";"1";"4969";"CHEMBL_36";"2025-07-28"
"CHEMBL5441456";"";"71";"AI-driven Structure-enabled Antiviral Platform (ASAP)";"ASAP - SARS-CoV-2 nsp3 macrodomain dose response";"";"10.6019/CHEMBL5441456";"";"ASAP Discovery Consortium";"2024";"";"";"";"";"DATASET";"According to the assay cascade defined by the AI-driven Structure-enabled Antiviral Platform (ASAP, https://asapdiscovery.org) which contains assays and progression criteria used by the drug discovery program, this dataset includes SARS-CoV-2 nsp3 macrodomain dose response data.";"765";"1";"1479";"CHEMBL_35";"2024-12-01"
"CHEMBL5442741";"";"71";"AI-driven Structure-enabled Antiviral Platform (ASAP)";"ASAP - In vitro kinase profile";"";"10.6019/CHEMBL5442741";"";"ASAP Discovery Consortium";"2024";"";"";"";"";"DATASET";"According to the assay cascade defined by the AI-driven Structure-enabled Antiviral Platform (ASAP, https://asapdiscovery.org) which contains assays and progression criteria used by the drug discovery program, this dataset includes in vitro kinase profiling data.";"12";"58";"754";"CHEMBL_35";"2024-12-01"
"CHEMBL5724558";"";"55";"EUbOPEN Chemogenomic Library";"Image-based profiling of drug vulnerabilities in CRC organoids";"";"10.6019/CHEMBL5724558";"";"EUbOPEN";"2024";"";"";"";"";"DATASET";"This study presents a semi-automated image-based platform for profiling drug vulnerabilities in colorectal cancer (CRC) organoids. Using patient-derived tumor organoids, the approach captures individual drug response profiles by combining image-based and luminescence readouts. Results indicate strong correlation between these methods, facilitating robust, patient-specific drug sensitivity analysis. This platform provides a valuable tool for identifying therapeutic targets and addressing drug resistance in CRC.";"368";"1";"4440";"CHEMBL_36";"2025-07-28"
